source_url,content_type,local_file
https://www.figma.com/api/mcp/asset/c5ae22ff-e5c9-4c3e-998e-54e95aff050e,image/svg+xml,public/assets/figma/website-page/c5ae22ff-e5c9-4c3e-998e-54e95aff050e.svg
https://www.figma.com/api/mcp/asset/cb4e2b89-5c3e-4464-9e17-8e5457dcffff,image/svg+xml,public/assets/figma/website-page/cb4e2b89-5c3e-4464-9e17-8e5457dcffff.svg
https://www.figma.com/api/mcp/asset/769d85c0-4a14-4a45-aa9b-d12bcb93e9c9,image/svg+xml,public/assets/figma/website-page/769d85c0-4a14-4a45-aa9b-d12bcb93e9c9.svg
https://www.figma.com/api/mcp/asset/93f7228b-9300-4201-8843-ef9dd79fb9b3,image/svg+xml,public/assets/figma/website-page/93f7228b-9300-4201-8843-ef9dd79fb9b3.svg
https://www.figma.com/api/mcp/asset/22e86a93-1ab1-43a3-be90-0cfc308bca3f,image/svg+xml,public/assets/figma/website-page/22e86a93-1ab1-43a3-be90-0cfc308bca3f.svg
https://www.figma.com/api/mcp/asset/95d44368-27d8-4123-af3a-653648c21045,image/svg+xml,public/assets/figma/website-page/95d44368-27d8-4123-af3a-653648c21045.svg
https://www.figma.com/api/mcp/asset/e5590f8d-249c-4e7a-97dc-ae5b56b1fca6,image/svg+xml,public/assets/figma/website-page/e5590f8d-249c-4e7a-97dc-ae5b56b1fca6.svg
https://www.figma.com/api/mcp/asset/4899ce79-770c-46c8-8c52-92b591e3863a,image/svg+xml,public/assets/figma/website-page/4899ce79-770c-46c8-8c52-92b591e3863a.svg
https://www.figma.com/api/mcp/asset/40b3e26d-87db-44dc-8ca2-245080b35460,image/svg+xml,public/assets/figma/website-page/40b3e26d-87db-44dc-8ca2-245080b35460.svg
https://www.figma.com/api/mcp/asset/3fc27bd9-cae3-436a-a2c3-02d08ff6ca32,image/svg+xml,public/assets/figma/website-page/3fc27bd9-cae3-436a-a2c3-02d08ff6ca32.svg
https://www.figma.com/api/mcp/asset/24c0dd09-c0c0-4ace-8635-fd2118f20a07,image/svg+xml,public/assets/figma/website-page/24c0dd09-c0c0-4ace-8635-fd2118f20a07.svg
https://www.figma.com/api/mcp/asset/919b75c7-e86a-4406-aa8d-62dd5400ba5f,image/svg+xml,public/assets/figma/website-page/919b75c7-e86a-4406-aa8d-62dd5400ba5f.svg
https://www.figma.com/api/mcp/asset/73b12338-23a7-4666-9243-7a63df613684,image/svg+xml,public/assets/figma/website-page/73b12338-23a7-4666-9243-7a63df613684.svg
